ФИО,"Баллы, ед.","Баллы, %",Баллы по ключевым навыкам,labels
ФИО_478,100,77.88,77.88,3
ФИО_123,100,77.88,77.88,3
ФИО_220,100,77.88,77.88,3
ФИО_330,100,81.83,81.83,3
ФИО_564,100,81.83,81.83,3
ФИО_573,100,81.83,81.83,3
ФИО_175,100,70.78,70.78,2
ФИО_332,100,70.78,70.78,2
ФИО_344,100,70.78,70.78,2
ФИО_173,100,63.23,63.23,3
ФИО_617,100,63.23,63.23,3
ФИО_708,100,63.23,63.23,3
ФИО_205,100,51.8,51.8,2
ФИО_671,100,51.8,51.8,2
ФИО_674,100,51.8,51.8,2
ФИО_342,100,2.0,2.0,9
ФИО_551,100,2.0,2.0,9
ФИО_232,100,5.73,5.73,9
ФИО_417,100,5.73,5.73,9
ФИО_97,100,4.8,4.8,4
ФИО_200,100,4.8,4.8,4
ФИО_138,100,4.03,4.03,9
ФИО_643,100,4.03,4.03,9
ФИО_167,100,11.41,11.41,4
ФИО_588,100,11.41,11.41,4
ФИО_211,100,17.28,17.28,10
ФИО_466,100,17.28,17.28,10
ФИО_457,100,9.58,9.58,4
ФИО_660,100,9.58,9.58,4
ФИО_51,100,13.64,13.64,4
ФИО_98,100,13.64,13.64,4
ФИО_411,100,10.23,10.23,4
ФИО_667,100,10.23,10.23,4
ФИО_337,100,4.58,4.58,9
ФИО_590,100,4.58,4.58,9
ФИО_218,100,68.2,68.2,3
ФИО_489,100,68.2,68.2,3
ФИО_490,100,68.2,68.2,3
ФИО_602,100,68.2,68.2,3
ФИО_293,100,65.57,65.57,3
ФИО_458,100,65.57,65.57,3
ФИО_460,100,65.57,65.57,3
ФИО_611,100,65.57,65.57,3
ФИО_99,100,40.31,40.31,3
ФИО_112,100,40.31,40.31,3
ФИО_467,100,40.31,40.31,3
ФИО_548,100,40.31,40.31,3
ФИО_368,100,82.07,82.07,3
ФИО_433,100,82.07,82.07,3
ФИО_462,100,82.07,82.07,3
ФИО_683,100,82.07,82.07,3
ФИО_135,100,55.99,55.99,3
ФИО_189,100,55.99,55.99,3
ФИО_349,100,55.99,55.99,3
ФИО_542,100,55.99,55.99,3
ФИО_106,100,86.61,86.61,3
ФИО_258,100,86.61,86.61,3
ФИО_455,100,86.61,86.61,3
ФИО_497,100,86.61,86.61,3
ФИО_30,100,79.37,79.37,3
ФИО_102,100,79.37,79.37,3
ФИО_251,100,79.37,79.37,3
ФИО_294,100,79.37,79.37,3
ФИО_11,100,64.1,64.1,3
ФИО_162,100,64.1,64.1,3
ФИО_266,100,64.1,64.1,3
ФИО_438,100,64.1,64.1,3
ФИО_36,5,5.0,,9
ФИО_114,5,5.0,,9
ФИО_286,5,5.0,,9
ФИО_427,5,5.0,,9
ФИО_19,5,5.0,,9
ФИО_31,5,5.0,,9
ФИО_79,5,5.0,,9
ФИО_536,5,5.0,,9
ФИО_182,5,5.0,,5
ФИО_219,5,5.0,,5
ФИО_356,5,5.0,,5
ФИО_694,5,5.0,,5
ФИО_48,5,5.0,,5
ФИО_63,5,5.0,,5
ФИО_376,5,5.0,,5
ФИО_456,5,5.0,,5
ФИО_27,"62,02",62.02,,3
ФИО_132,"62,02",62.02,,3
ФИО_556,"62,02",62.02,,3
ФИО_625,"62,02",62.02,,3
ФИО_111,5,5.0,,9
ФИО_133,5,5.0,,9
ФИО_139,5,5.0,,9
ФИО_254,5,5.0,,9
ФИО_184,5,5.0,,9
ФИО_244,5,5.0,,9
ФИО_452,5,5.0,,9
ФИО_24,5,5.0,,5
ФИО_56,5,5.0,,5
ФИО_130,5,5.0,,5
ФИО_700,5,5.0,,5
ФИО_85,"54,385",54.385,,3
ФИО_296,"54,385",54.385,,3
ФИО_446,"54,385",54.385,,3
ФИО_486,"54,385",54.385,,3
ФИО_28,"54,71",54.71,,8
